result,mean_10_home_goal,mean_10_home_possesion_pct,mean_10_home_shot_on_goal,mean_10_home_shot,mean_10_home_corner,mean_10_away_goal,mean_10_away_possesion_pct,mean_10_away_shot_on_goal,mean_10_away_shot,mean_10_away_corner
0,1.6666666666666667,0.5011111111111111,4.555555555555555,13.333333333333334,6.222222222222222,1.8888888888888888,0.5322222222222223,4.555555555555555,13.666666666666666,6.0
0,1.375,0.49,5.125,16.625,7.0,1.375,0.58,6.25,15.125,6.125
3,1.8888888888888888,0.5066666666666667,4.888888888888889,13.777777777777779,5.444444444444445,0.7777777777777778,0.5366666666666666,3.3333333333333335,10.777777777777779,3.2222222222222223
0,1.2222222222222223,0.47333333333333333,4.444444444444445,13.88888888888889,5.333333333333333,2.3333333333333335,0.51,6.444444444444445,17.0,6.333333333333333
1,1.375,0.57875,3.875,14.0,5.125,0.875,0.58625,5.0,14.5,5.875
3,1.3333333333333333,0.45333333333333337,3.888888888888889,11.666666666666666,4.777777777777778,1.0,0.4722222222222222,4.555555555555555,10.777777777777779,4.222222222222222
0,0.5555555555555556,0.4388888888888889,3.0,12.222222222222221,3.5555555555555554,0.7777777777777778,0.44777777777777783,3.2222222222222223,10.444444444444445,3.5555555555555554
3,1.7777777777777777,0.57,6.222222222222222,18.666666666666668,8.88888888888889,0.6,0.422,3.2,11.0,4.6
0,0.7777777777777778,0.4511111111111111,3.0,11.555555555555555,4.777777777777778,1.6666666666666667,0.5855555555555555,6.666666666666667,17.666666666666668,7.333333333333333
0,1.0,0.45,3.5,11.625,4.375,1.875,0.43625,4.375,11.625,3.25
0,1.25,0.4725,4.375,14.375,5.125,1.375,0.42125,3.25,10.375,4.5
1,1.4444444444444444,0.5211111111111112,4.333333333333333,13.555555555555555,5.666666666666667,1.8888888888888888,0.4388888888888889,4.222222222222222,11.222222222222221,3.111111111111111
3,1.6666666666666667,0.55,6.555555555555555,19.444444444444443,7.888888888888889,1.2222222222222223,0.39444444444444443,3.4444444444444446,9.88888888888889,4.666666666666667
3,1.8888888888888888,0.44111111111111106,6.111111111111111,16.22222222222222,6.333333333333333,1.4444444444444444,0.43222222222222223,3.5555555555555554,11.11111111111111,4.444444444444445
1,1.7777777777777777,0.4744444444444444,5.222222222222222,16.88888888888889,6.555555555555555,2.111111111111111,0.5577777777777777,5.555555555555555,13.222222222222221,5.222222222222222
1,1.3333333333333333,0.5477777777777777,5.555555555555555,15.444444444444445,6.222222222222222,0.6666666666666666,0.4288888888888889,2.6666666666666665,9.333333333333334,3.888888888888889
0,1.3333333333333333,0.5211111111111112,4.888888888888889,16.555555555555557,7.222222222222222,1.2222222222222223,0.5533333333333332,4.555555555555555,12.0,5.111111111111111
0,1.2222222222222223,0.5855555555555555,4.555555555555555,15.444444444444445,5.444444444444445,1.0,0.4911111111111111,2.0,7.666666666666667,3.2222222222222223
0,2.111111111111111,0.5444444444444445,5.666666666666667,17.11111111111111,6.555555555555555,0.6666666666666666,0.41555555555555557,2.3333333333333335,7.666666666666667,4.777777777777778
3,2.111111111111111,0.5944444444444444,7.444444444444445,22.555555555555557,8.777777777777779,1.0,0.3966666666666667,3.4444444444444446,13.222222222222221,3.6666666666666665
3,1.9,0.5429999999999999,6.6,21.1,7.2,0.75,0.51125,3.875,12.375,6.0
0,1.6,0.47400000000000003,4.8,16.3,6.3,1.1,0.546,3.8,12.4,5.5
0,1.2,0.5810000000000001,4.7,15.6,5.6,2.3,0.548,5.8,13.3,5.1
1,1.7,0.511,4.7,13.6,5.3,1.7,0.524,4.5,13.1,5.5
3,2.1,0.53,7.0,20.8,6.3,0.0,0.49,2.0,7.0,1.0
0,0.9,0.454,3.7,12.8,5.1,1.0,0.484,1.9,7.4,3.0
3,1.9,0.441,5.9,16.4,6.1,0.0,0.56,1.0,12.0,3.0
0,0.0,0.42,3.0,5.0,3.0,1.6,0.585,6.3,17.7,7.3
1,1.4,0.441,3.7,11.3,4.9,0.8888888888888888,0.5288888888888889,4.222222222222222,13.222222222222221,6.222222222222222
0,2.3,0.537,6.0,18.1,8.0,2.0,0.395,3.8,10.1,2.8
3,2.0,0.5900000000000001,7.8,22.8,9.1,0.6,0.43099999999999994,3.0,9.6,4.1
0,1.5,0.49800000000000005,4.4,13.7,6.4,2.2,0.512,5.9,15.8,5.9
3,1.6,0.5429999999999999,6.6,19.6,7.9,0.7,0.5349999999999999,3.5,10.4,3.2
3,3.0,0.3,6.0,9.0,3.0,1.1,0.6,5.6,16.2,6.5
3,2.3,0.553,6.2,17.4,6.7,0.7,0.44000000000000006,3.0,10.0,3.3
3,0.9,0.45599999999999996,3.1,11.8,5.0,1.0,0.5,5.0,14.0,0.0
1,1.3,0.5599999999999999,5.6,15.6,6.1,1.2,0.388,3.4,9.7,4.4
1,1.2,0.524,4.4,16.5,7.0,0.6,0.41500000000000004,3.0,10.5,4.5
3,1.0,0.39,2.0,7.0,1.0,0.6,0.43499999999999994,2.5,8.2,4.8
1,1.6,0.575,6.4,19.0,9.1,0.9,0.46299999999999997,4.3,10.4,3.9
0,1.2,0.472,4.7,14.1,4.9,1.4,0.5519999999999999,5.0,12.7,5.4
3,2.1,0.541,7.0,20.5,6.0,1.9,0.395,3.6,9.9,2.8
0,1.7,0.43600000000000005,5.4,15.7,5.3,0.7,0.44800000000000006,3.4,10.6,4.3
3,1.5,0.45999999999999996,5.0,11.5,4.5,1.3,0.404,3.4,9.9,4.5
3,2.2,0.549,6.2,16.6,6.7,0.0,0.45499999999999996,2.0,7.0,2.5
3,1.2,0.528,4.8,17.2,7.9,0.8,0.475,1.8,6.7,2.7
3,1.5,0.42800000000000005,3.9,11.5,4.9,0.9,0.562,3.8,12.9,5.6
3,2.4,0.5399999999999999,6.2,18.4,8.1,1.6,0.58,6.1,17.3,7.3
3,1.8,0.567,7.3,21.0,8.4,1.9,0.558,5.5,12.8,5.2
0,1.5,0.471,4.5,15.5,5.5,0.9,0.5479999999999999,3.6,11.2,3.6
1,1.5,0.33499999999999996,3.5,6.5,3.5,0.8,0.539,4.1,13.2,6.1
1,1.2,0.575,5.6,16.2,6.8,0.5,0.425,2.7,10.1,4.5
0,0.7,0.437,3.3,12.8,5.3,1.6,0.565,5.5,13.5,5.7
1,0.9,0.45499999999999996,2.9,11.7,4.6,0.9,0.5980000000000001,5.3,15.4,6.2
1,1.2,0.5710000000000001,5.0,14.9,5.6,2.3,0.499,6.1,15.7,6.5
3,1.7,0.563,6.4,18.3,8.9,1.3,0.5239999999999999,4.5,14.0,5.5
3,1.5,0.544,6.2,18.5,7.5,0.5,0.41600000000000004,2.4,7.9,4.6
1,1.0,0.42500000000000004,3.5,12.5,3.5,0.5,0.55,1.5,11.0,2.5
1,1.2,0.48,4.7,14.1,4.7,0.8,0.46299999999999997,4.4,10.4,4.0
3,2.1,0.555,7.2,21.5,7.0,0.8,0.45599999999999996,1.9,6.9,2.8
0,1.4,0.45,4.0,11.9,5.3,1.8,0.388,3.4,10.0,2.4
0,1.6,0.502,4.0,13.1,5.9,0.9,0.44000000000000006,3.6,10.9,3.1
